Date,AMZN,BA,DIS,IBM,KO,MSFT
2014-01-02,19.898500442504883,116.80793762207033,69.6431884765625,114.38273620605467,29.14057159423828,31.17682456970215
2014-01-03,19.82200050354004,117.6198959350586,69.49710845947266,115.06704711914062,28.99725151062012,30.96707534790039
2014-01-06,19.68149948120117,118.2950668334961,69.23230743408203,114.67247009277344,28.86107444763184,30.312679290771484
2014-01-07,19.901500701904297,120.08985900878906,69.70711517333984,116.95977783203124,28.947078704833984,30.547595977783203
2014-01-08,20.09600067138672,120.35481262207033,68.6844253540039,115.88703918457033,28.62456512451172,30.002243041992188
2014-01-09,20.050500869750977,121.4744644165039,68.39225006103516,115.52325439453124,28.47406578063965,29.809268951416016
2014-01-10,19.882999420166016,121.2778549194336,68.83966827392578,115.4492645263672,28.76073837280273,30.237157821655277
2014-01-13,19.548999786376957,120.2522964477539,66.90386199951172,113.53807830810548,28.33071517944336,29.347829818725582
2014-01-14,19.87700080871582,119.66252136230467,67.9813232421875,114.62316131591795,28.44538688659668,30.019027709960938
2014-01-15,19.793500900268555,120.18390655517578,67.82611083984375,115.74525451660156,28.49555969238281,30.84123992919922
2014-01-16,19.790000915527344,119.83349609375,67.76216888427734,116.37410736083984,28.45973014831543,30.95030212402344
2014-01-17,19.980499267578125,120.0471420288086,67.55216979980469,117.19403076171876,28.151559829711918,30.52241897583008
2014-01-21,20.352500915527344,121.0813217163086,67.75304412841797,116.1706314086914,28.610225677490234,30.346221923828125
2014-01-22,20.226999282836918,123.38892364501952,68.7666015625,112.36056518554688,28.59589958190918,30.144874572753903
2014-01-23,19.99349975585937,120.77359008789062,68.29178619384766,112.656494140625,28.122880935668945,30.25393867492676
2014-01-24,19.3799991607666,116.79086303710938,66.40165710449219,110.75143432617188,27.83621025085449,30.88318634033203
2014-01-27,19.31399917602539,117.39767456054688,65.97247314453125,109.67868041992188,27.75736427307129,30.228769302368164
2014-01-28,19.72150039672852,117.16690063476562,66.54773712158203,109.03133392333984,27.85770606994629,30.43012809753418
2014-01-29,19.209999084472656,110.91927337646484,65.13240814208984,108.7538833618164,27.16252326965332,30.757333755493164
2014-01-30,20.15049934387207,108.14158630371094,66.85820007324219,109.3457489013672,27.356016159057617,30.925121307373047
2014-01-31,17.934499740600586,107.05614471435548,66.30119323730469,108.92652130126952,27.105180740356445,31.74733161926269
2014-02-03,17.3075008392334,105.19295501708984,63.90884017944336,106.5960922241211,26.660837173461918,30.60630989074707
2014-02-04,17.397499084472656,104.30408477783205,64.87674713134766,106.55908203125,26.86150932312012,30.49724578857422
2014-02-05,17.322500228881836,103.75711059570312,65.52505493164062,107.42220306396484,26.95468521118164,30.052579879760746
2014-02-06,17.72949981689453,104.8425521850586,68.99488830566406,108.27765655517578,27.255699157714844,30.354610443115234
2014-02-07,18.054000854492188,108.56035614013672,69.0953369140625,109.87702178955078,27.198354721069336,30.673433303833008
2014-02-10,18.043500900268555,108.68002319335938,70.36455535888672,109.80882263183594,27.64270401000977,30.87479591369629
2014-02-11,18.089500427246094,111.24402618408205,71.03114318847656,111.39575958251952,27.692873001098636,31.185216903686523
2014-02-12,17.462499618530273,110.126708984375,71.14071655273438,111.73054504394533,27.59970092773437,31.436920166015625
2014-02-13,17.860000610351562,111.30420684814452,71.13157653808594,112.72233581542967,27.70003318786621,31.55436897277832
2014-02-14,17.86750030517578,111.87146759033205,72.34601593017578,113.8691635131836,27.900712966918945,31.5627555847168
2014-02-18,17.6825008392334,112.2754364013672,72.66561126708984,113.55923461914062,26.85434341430664,31.630380630493164
